# creator Make-O-Matic
Trainset-ID,Experiment-ID,Subject-ID,Observer-ID,collectedByHand,Collector-ID,TimeStamp,RFID-ID,GRASP-A,GRASP-B,GRASP-C,AX,AY,AZ,EX,EY,EZ,USERINPUT,HANDINGLOVE, Parcours-ID,Parcours-Step,Mutation-ID, Mutation/HandIsActive,Host-ID,Host/Spot-ID,Gesture-ID
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1072433,000000000000,758,11,777,0.9200000166893005,1.5800000429153442,-0.7400000095367432,197.375,31.25,-62.8125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1087447,000000000000,757,6,776,0.5,0.8500000238418579,-1.3200000524520874,192.375,33.6875,-57.4375,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1091105,000000000000,187,196,199,0.20000000298023224,0,-0.2800000011920929,106.0625,-7.4375,-92,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1095196,000000000000,211,209,204,0.30000001192092896,0.10000000149011612,-0.1899999976158142,106.25,-7.75,-92,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1097702,000000000000,755,2,777,0.6200000047683716,1.149999976158142,-1.3300000429153442,189.1875,34.6875,-53.5625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1103609,000000000000,168,172,153,0.3499999940395355,0.10999999940395355,-0.33000001311302185,106.3125,-7.9375,-92,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1129762,000000000000,753,0,779,-0.6299999952316284,0.8899999856948853,-1.7400000095367432,185.9375,35.125,-49.125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1138480,000000000000,164,175,157,0.3700000047683716,0,-0.2800000011920929,106.4375,-8.125,-92,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1146253,000000000000,163,171,159,0.41999998688697815,0.009999999776482582,-0.3700000047683716,106.625,-8.375,-92,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1164742,000000000000,750,8,779,-0.6600000262260437,0.49000000953674316,-2.5,181.5,35,-41.875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1176088,000000000000,199,202,195,0.5299999713897705,0.03999999910593033,-0.25,106.75,-8.5625,-92.0625,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1179976,000000000000,748,9,783,-1.5700000524520874,0,-3.059999942779541,178.875,34.4375,-36.9375,false,true,P110,1,M151,true,H008,,G15
