rfid,ex,ey,ez,ax,ay,az,myo,key,sw,capsens,lastnr
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,528,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,461,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,344,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,241,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,259,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,278,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,270,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,269,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,249,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,222,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,282,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,412,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,507,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,527,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,523,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,441,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,314,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,250,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,267,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,283,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,268,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,264,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,267,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,243,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,214,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,311,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,443,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,516,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,528,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,506,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,412,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,275,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,252,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,270,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,284,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,263,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,257,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,228,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,224,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,339,1,1,1,0
